node_id,node_type,latitude,longitude,role_priority,capacity,influence_score
Node_001,alert_origin,43.1437925,0.158666112879269,5,1000,1.0
Node_002,control_center,67.502032,20.770316,4,500,0.8
Node_003,control_center,62.797885,30.979472,4,500,0.8
Node_004,control_center,38.425207,14.434635,4,500,0.8
Node_005,control_center,46.012916,15.097513,4,500,0.8
Node_006,control_center,45.437452,39.546844,4,500,0.8
Node_007,control_center,48.013622,0.425858,4,500,0.8
Node_008,control_center,52.521991,27.707427,4,500,0.8
Node_009,control_center,38.808409,20.635489,4,500,0.8
Node_010,control_center,41.307813,-7.993278,4,500,0.8
Node_011,control_center,40.232874,29.116201,4,500,0.8
Node_012,media_outlet,49.175669,-9.929913,3,200,0.6
Node_013,media_outlet,39.730734,38.101537,3,200,0.6
Node_014,media_outlet,61.792376,38.263659,3,200,0.6
Node_015,media_outlet,38.687467,6.575803,3,200,0.6
Node_016,media_outlet,38.505187,9.995007,3,200,0.6
Node_017,media_outlet,62.473178,10.100725,3,200,0.6
Node_018,media_outlet,47.380198,37.671667,3,200,0.6
Node_019,media_outlet,43.759795,34.93736,3,200,0.6
Node_020,media_outlet,52.809178,-4.992078,3,200,0.6
Node_021,media_outlet,62.504103,2.731392,3,200,0.6
Node_022,media_outlet,46.072965,4.365031,3,200,0.6
Node_023,media_outlet,59.149539,32.724179,3,200,0.6
Node_024,media_outlet,51.016989,3.423987,3,200,0.6
Node_025,media_outlet,68.201882,-4.361083,3,200,0.6
Node_026,media_outlet,55.470406,2.080539,3,200,0.6
Node_027,media_outlet,37.541284,38.068176,3,200,0.6
Node_028,media_outlet,56.572951,2.455252,3,200,0.6
Node_029,media_outlet,64.674448,17.008978,3,200,0.6
Node_030,media_outlet,41.308631,35.731934,3,200,0.6
Node_031,media_outlet,68.938396,-5.987012,3,200,0.6
Node_032,community_leader,52.859798,10.613255,2,100,0.4
Node_033,community_leader,48.103052,14.186607,2,100,0.4
Node_034,community_leader,51.298748,38.265348,2,100,0.4
Node_035,community_leader,48.92438,16.791258,2,100,0.4
Node_036,community_leader,41.081958,18.740375,2,100,0.4
Node_037,community_leader,41.907582,0.693769,2,100,0.4
Node_038,community_leader,51.644473,8.171159,2,100,0.4
Node_039,community_leader,64.671533,7.288222,2,100,0.4
Node_040,community_leader,65.673955,27.444363,2,100,0.4
Node_041,community_leader,68.925098,3.932616,2,100,0.4
Node_042,community_leader,67.309228,17.647658,2,100,0.4
Node_043,community_leader,47.091835,26.68336,2,100,0.4
Node_044,community_leader,47.608227,6.585939,2,100,0.4
Node_045,community_leader,64.038294,10.79917,2,100,0.4
